City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rafaela,AR,77.99,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
8,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Butaritari,KI,80.91,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
19,Floriano,BR,88.75,few clouds,-6.7669,-43.0225,Hotel Maktub
21,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
25,Martapura,ID,77.09,broken clouds,-3.4167,114.85,Montana Hotel Syariah
26,Indramayu,ID,78.01,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
27,Saint George,US,82.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
30,Puerto Ayora,EC,80.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Rikitea,PF,79.3,clear sky,-23.1203,-134.9692,People ThankYou
35,San Jose,US,75.54,scattered clouds,37.3394,-121.895,The Westin San Jose
37,Natal,BR,84.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
38,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
39,Banjar,ID,77.11,broken clouds,-8.19,114.9675,The Hamsa Resort
42,Loandjili,CG,80.71,thunderstorm,-4.7561,11.8578,Résidence ARCHANGE
43,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
48,Victoria,HK,76.95,broken clouds,22.2855,114.1577,Mini Hotel Central
57,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
62,Cagliliog,PH,77.54,clear sky,13.9016,123.2913,Cagliliog Labog Beach
65,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
67,Atuona,PF,79.3,light rain,-9.8,-139.0333,Villa Enata
70,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
74,Lorengau,PG,81.27,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,San Policarpo,PH,79.86,overcast clouds,12.1791,125.5072,Agapita M. Nicart
76,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
79,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
83,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
93,Tucurui,BR,82.85,light rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
94,Nioro,GM,85.28,clear sky,13.35,-15.75,
98,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
101,Joao Pinheiro,BR,82.53,broken clouds,-17.7425,-46.1725,Hotel Santos
105,Hilo,US,78.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
106,Kapaa,US,76.19,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
107,Hithadhoo,MV,83.17,clear sky,-0.6,73.0833,Scoop Guest House
108,Itamaraca,BR,84.25,moderate rain,-7.7478,-34.8256,Special K's Bed & Breakfast
113,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
114,Roebourne,AU,82.26,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
119,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
120,Laguna,US,79.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
124,Biak,ID,75.96,overcast clouds,-0.9131,122.8766,Penginapan Kim
126,Piura,PE,85.64,overcast clouds,-5.2,-80.6333,Casa Andina Premium Piura
129,Kloulklubed,PW,82.9,moderate rain,7.0419,134.2556,Storyboard Beach Resort
130,Diu,IN,80.06,clear sky,20.7141,70.9822,Hotel Relax Inn
142,Bilma,NE,76.39,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
144,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
147,La Plaine,DM,82.69,few clouds,15.3333,-61.25,Citrus Creek Plantation
156,Long Beach,US,82.83,haze,33.767,-118.1892,The Westin Long Beach
159,Itarema,BR,81.3,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
161,Salalah,OM,77.38,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
162,Bodden Town,KY,79.0,broken clouds,19.2833,-81.25,Will T Place
163,Puerto Colombia,CO,87.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
167,Bubaque,GW,76.87,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
168,Muli,MV,81.93,few clouds,2.9167,73.5667,Medhufushi Island Resort
170,Kavaratti,IN,81.82,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
172,Namatanai,PG,78.91,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
174,Bengkulu,ID,76.08,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
177,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
180,Harper,LR,80.26,moderate rain,4.375,-7.7169,Screensaver
181,Antalaha,MG,76.89,clear sky,-14.9003,50.2788,Hotel Vitasoa
184,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
192,Buala,SB,77.79,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
193,Novo Horizonte,BR,80.82,broken clouds,-21.4681,-49.2208,Alvorada Hotel
195,Hambantota,LK,77.9,clear sky,6.1241,81.1185,Bungalow 63
199,Poum,NC,79.84,broken clouds,-20.2333,164.0167,
205,Caninde,BR,78.58,moderate rain,-4.3589,-39.3117,Hotel Casa Grande II
211,Sur,OM,82.13,clear sky,22.5667,59.5289,Sur Plaza Hotel
213,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
214,Pontes E Lacerda,BR,80.02,overcast clouds,-15.2261,-59.3353,Hotel Bressan
216,Linhares,BR,82.36,overcast clouds,-19.3911,-40.0722,Hotel Conceição
219,Gambela,ET,87.13,broken clouds,8.25,34.5833,Solomon Debebe Hotel
225,Samarai,PG,81.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
229,Cabo San Lucas,MX,86.31,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
233,Poso,ID,76.95,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
236,Raga,SS,79.84,overcast clouds,8.4596,25.678,
241,Sola,VU,82.44,moderate rain,-13.8833,167.55,Leumerus Bungalows
243,Bandarbeyla,SO,77.38,scattered clouds,9.4942,50.8122,JABIR HOTEL
246,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
252,Moerai,PF,81.01,overcast clouds,-22.4333,-151.3333,Le Manotel
253,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Beach Rotana
256,Riohacha,CO,84.31,few clouds,11.5444,-72.9072,Hotel Taroa
260,Aden,YE,78.85,clear sky,12.7794,45.0367,Sama Emirate Hotel
263,Gombong,ID,76.93,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
265,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
270,Hobyo,SO,80.78,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
273,Ibra,OM,75.67,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
277,Rawson,AR,75.2,clear sky,-43.3002,-65.1023,Hosteria Sampedro
278,Buritizeiro,BR,88.34,broken clouds,-17.3511,-44.9622,Santos Palace Hotel
279,San Vicente,AR,75.7,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
281,Badou,TG,78.75,overcast clouds,7.5833,0.6,Hôtel Abuta
284,Touros,BR,79.65,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
285,Biltine,TD,77.52,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
291,Santa Rosa,PH,83.1,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
294,Kulhudhuffushi,MV,81.72,clear sky,6.6221,73.07,Haajy Guest House 1
295,Gamba,GA,78.26,moderate rain,-2.65,10.0,
301,Dingle,PH,76.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
308,Trinidad,BO,78.78,broken clouds,-14.8333,-64.9,Hotel Piesta
316,Vung Tau,VN,81.5,clear sky,10.346,107.0843,Seaside Resort
317,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
319,Ailigandi,PA,81.57,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
320,Pemangkat,ID,79.56,moderate rain,1.1667,108.9667,Ramah Kost KITA
321,Kirakira,SB,79.52,overcast clouds,-10.4544,161.9205,SanBiz Lodge
323,Harur,IN,76.28,clear sky,12.0667,78.5,Indian Bank
328,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
330,Buchanan,LR,77.85,heavy intensity rain,5.8808,-10.0467,Kamaneahn Hotel Inc
331,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
335,Quatre Cocos,MU,80.71,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
339,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
340,Sinnamary,GF,79.84,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
341,Manavalakurichi,IN,78.93,overcast clouds,8.1333,77.3,Jebinrio home
353,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
357,Monkey Bay,MW,79.07,broken clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
362,Klaeng,TH,87.94,clear sky,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
366,Bolobo,CD,76.57,overcast clouds,-2.1667,16.2333,Hotel de Stephen
370,Takoradi,GH,81.73,light rain,4.8845,-1.7554,Raybow International Hotel
371,Piacabucu,BR,81.86,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
380,Nabire,ID,75.2,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
382,Faanui,PF,81.68,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
383,Kavieng,PG,81.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
386,Fruitvale,US,76.93,clear sky,39.0817,-108.4968,Grand Junction Palomino Inn
387,Isla Mujeres,MX,80.65,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
393,Oranjestad,AW,85.95,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
396,Papara,BR,79.2,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
399,Arani,IN,78.67,clear sky,12.6667,79.2833,KPK LODGE
407,Rio Grande,BR,77.11,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
408,Sabang,ID,82.94,few clouds,5.8933,95.3214,Hotel Citra
411,Pucallpa,PE,87.84,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
415,Phan Thiet,VN,77.9,clear sky,10.9333,108.1,Hotel Saigon-PT
424,Kishi,NG,88.54,broken clouds,9.0833,3.85,New NCCF KISI
425,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
428,Ahuimanu,US,77.77,few clouds,21.4447,-157.8378,Paradise Bay Resort
429,Mandera,KE,88.11,scattered clouds,3.9366,41.867,Hiren Hotel Mandera
431,Morgan Hill,US,76.89,clear sky,37.1305,-121.6544,Residence Inn by Marriott San Jose South/Morgan Hill
438,San Luis,AR,79.9,clear sky,-33.295,-66.3356,Huarpes Hotel
440,Sembe,CG,76.6,overcast clouds,1.6481,14.5806,
442,Visconde Do Rio Branco,BR,83.64,few clouds,-21.0103,-42.8406,Rio Branco palace hotel
443,Hobbs,US,84.2,clear sky,32.7026,-103.136,Best Western Executive Inn
447,Ciudad Bolivar,VE,86.99,overcast clouds,8.1222,-63.5497,Hotel Edi
448,Veraval,IN,78.22,clear sky,20.9,70.3667,Lords Inn Somnath
449,Bac Lieu,VN,81.79,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
450,Karratha,AU,82.83,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
456,Oriximina,BR,82.78,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
457,Caravelas,BR,81.01,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
463,Alamo,MX,85.64,clear sky,20.9167,-97.6833,Hotel Elizabeth
464,Kerema,PG,77.27,overcast clouds,-7.9631,145.7785,Frena Lodge
468,Ugoofaaru,MV,81.79,clear sky,5.6667,73.0,Ungoofaaru Inn
470,Mogadishu,SO,81.54,light rain,2.0371,45.3438,Hotel Juba
471,Omboue,GA,79.99,overcast clouds,-1.5746,9.2618,Hotel Olako
475,Kilindoni,TZ,83.14,clear sky,-7.9139,39.6668,Bustani B&B
476,Yaan,NG,89.89,few clouds,7.3833,8.5667,
481,Lompoc,US,78.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
485,Beoumi,CI,85.77,broken clouds,7.6736,-5.5764,Hôtel le Goly
491,Vao,NC,76.06,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
493,Rajampet,IN,78.24,clear sky,14.1833,79.1667,Maruthi Prasanna
505,Lodwar,KE,87.3,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
506,Brownsville,US,87.8,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
509,Mbaiki,CF,77.94,few clouds,3.8678,17.9892,Motel MBM
511,Doembang Nangbuat,TH,83.14,light rain,14.8333,100.1,ธาราริน วิลล่า
516,Isangel,VU,78.62,overcast clouds,-19.55,169.2667,Tanna Lodge
522,Redlands,US,88.93,scattered clouds,34.0556,-117.1825,Dynasty Suites Redlands
525,Vallenar,CL,82.9,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
528,Huarmey,PE,75.52,broken clouds,-10.0681,-78.1522,Hotel Miramar
531,Nieuw Nickerie,SR,80.31,overcast clouds,5.95,-56.9833,Ishwardat Inn
535,Oussouye,SN,84.38,scattered clouds,12.485,-16.5469,Auberge du Routard
537,Urucara,BR,81.16,heavy intensity rain,-2.5364,-57.76,Pousada Maria Bonita
539,Espinosa,BR,88.95,clear sky,-14.9261,-42.8192,Hotel Vilma
540,Honiara,SB,75.47,light rain,-9.4333,159.95,Heritage Park Hotel
547,Varadero,CU,77.76,scattered clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
551,Ca Mau,VN,79.92,clear sky,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
552,Lagos,NG,82.78,few clouds,6.5833,3.75,
564,Basco,PH,80.35,clear sky,20.4487,121.9702,Nathaniel's Lodge
571,San Juan,AR,83.84,clear sky,-31.5375,-68.5364,Hotel Provincial
572,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
573,Fonte Boa,BR,80.44,overcast clouds,-2.4959,-66.2662,
574,Adrar,MR,77.34,clear sky,20.5022,-10.0711,
577,Cavalcante,BR,77.9,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
581,Lamar,US,76.35,clear sky,33.6668,-95.5836,Kings Inn Paris TX
582,Mascote,BR,85.51,clear sky,-15.5631,-39.3025,Fazenda Novo ORIENTE
584,Manaure,CO,84.47,overcast clouds,11.7751,-72.4445,Hotel Palaaima
588,Sorong,ID,78.4,light rain,-0.8833,131.25,Waigo Splash Hotel
589,Canon City,US,79.39,scattered clouds,38.441,-105.2424,Travel Inn Motel
591,Robertsport,LR,80.37,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
593,Moussoro,TD,80.17,broken clouds,13.6408,16.4901,Hôtel Salama
595,Sai Buri,TH,77.59,clear sky,6.7013,101.6168,ร้าน​ เวดดิ้ง
599,Salta,AR,75.79,few clouds,-24.7859,-65.4117,Hotel Alejandro I
603,Nha Trang,VN,78.8,clear sky,12.25,109.1833,Hanoi Golden Hotel
604,Kidal,ML,88.12,scattered clouds,18.4411,1.4078,
610,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
613,Veracruz,MX,81.01,overcast clouds,19.3333,-96.6667,El Carrizal
614,Tigre,AR,75.18,broken clouds,-34.426,-58.5796,Puerto Delta Apartamentos
615,Cape Canaveral,US,81.01,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
616,Naliya,IN,78.15,clear sky,23.2667,68.8333,jadeja jayendrasinh
617,Tonantins,BR,77.65,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
618,Nang Rong,TH,82.85,light rain,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
623,Benguela,AO,77.9,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
624,Lodhran,PK,80.11,clear sky,29.5405,71.6336,Gulshan e khalil
627,Wanning,CN,76.96,scattered clouds,18.8003,110.3967,Paradise Hotel
630,Tautira,PF,81.34,broken clouds,-17.7333,-149.15,Pension Oaoa
632,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
633,Morant Bay,JM,85.62,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
636,Espinal,CO,85.59,broken clouds,4.1492,-74.8843,Hotel Pacanaima Espinal
638,Pakxan,LA,77.07,scattered clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
641,Santo Antonio Do Ica,BR,78.24,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
642,Reconquista,AR,77.7,clear sky,-29.15,-59.65,Grand Hotel
647,Bonthe,SL,79.56,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
656,Yambio,SS,77.86,broken clouds,4.5721,28.3955,Naivasha Hotel
